Category,Subcategory,Item,Standard,GreenPointsª,Room,Verification Needed (Should be visible only in Client Portal),Legislation,Rebates/Incentives,Ecofacts,Product Solutions,Calculators,Filters
Energy,HEATING/COOLING/VENTILATION ,Programmable thermostat,Yes;;No,3;;0,,Invoice OR Photo,would need to tie into external database that matches zip code,would need to tie into external database that matches zip code,Example: Getting a programmable thermostat can save you xyz energyÉ,Honeywell product 278,"We'd mark this column with a name of a calculator, such as ""Programmable thermostat"". Another part of the site will have the calculators. Marking an item in this column will bring in the proper calculator",Low Cost
Energy,HEATING/COOLING/VENTILATION ,Energy Star Furnace,Yes;;No,3.75;;0,,Invoice OR Photo showing manufacturer and model,,,,,,Visible
Energy,HEATING/COOLING/VENTILATION ,HVAC Heating Element,Energy Star;;CEE Tier 1;;CEE Tier 2,4.25;;4.75;;5.25,,,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Energy Star Ceiling Fan,Yes;;No,3.75;;0,,Invoice OR Photo showing manufacturer and model,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Energy Star air conditioner - room,Yes;;No,3.25;;0,,Invoice OR Photo showing manufacturer and model,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Energy Star air conditioner - central,Yes;;No,4.75;;0,,Invoice OR Photo showing manufacturer and model,,,,,,
Energy,HEATING/COOLING/VENTILATION ,HVAC Cooling Element,Energy Star;;CEE Tier 1;;CEE Tier 2,3.75::4.5::5.25,,Invoice OR Photo showing manufacturer and model,,,,,,
Energy,HEATING/COOLING/VENTILATION ,No A/C,Yes;;No,10.5;;0,,Signed statement on letterhead,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Energy Star Exhaust Fan,Yes;;No,3.75;;0,,Invoice OR Photo showing manufacturer and model,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Stacked parking (underground or multilevel garage),Yes;;No,3.75;;0,,Photo,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Open-grid pavement system for parking lot area,Yes;;No,3.75;;0,,Invoice OR Photo,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Energy Star-compliant high reflectance roofing material on roof surface (min emisssivity of 0.9),Yes;;No,3.75;;0,,Invoice OR Documentation from installer,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Energy Star Qualified Windows ,Yes;;No,3.75;;0,,Invoice OR Documentation from installer ,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Windows covered in window film that blocks solar heat,Yes;;No,3.75;;0,,Invoice,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Shading of nonroof impervious surfaces,Yes;;No,3.75;;0,,Photo,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Light-colored / reflective materials on nonroof impervious surfaces,Yes;;No,3.75;;0,,Invoice OR Photo with narrative,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Heat recovery system - HVAC,Yes;;No,3.75;;0,,Invoice,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Energy management system - HVAC,Yes;;No,3;;0,,Invoice,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Fresh air heat exchanger ,Yes;;No,3.75;;0,,Invoice,,,,,,
Energy,HEATING/COOLING/VENTILATION ,"Barrier between outside air and main entrance (air curtain, double doors, outdoor structure, indoor curtain)",Yes;;No,1;;0,,Photo,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Insulation,Exceeds recommended R-value for your zip code;;Meet recommended R-value for your zip code,5.25;;3.75,,Invoice,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Duct sealing,Yes;;No,3.75;;0,,Invoice,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Radiant barrier insulation,Yes;;No,3.75;;0,,Invoice,,,,,,
Energy,HEATING/COOLING/VENTILATION ,Weatherstripping,Yes;;No,3.75;;0,,Invoice,,,,,,
Energy, WATER HEATING ,Insulation - tanks and pipes,Yes;;No,7.5;;0,,Invoice OR Photo,,,,,,
Energy, WATER HEATING ,Energy management system - water heater,Yes;;No,3;;0,,Invoice OR Screenshot showing diagnostics and photo of the system where the brand is visible,,,,,,
Energy, WATER HEATING ,Heat recovery system - water heater,Yes;;No,9;;0,,Invoice,,,,,,
Energy, WATER HEATING ,Water Heater, 90+% Efficiency;;Tankless units,9.75;;8.25,,Invoice OR Photo showing manufacturer and model,,,,,,
Energy, WATER HEATING ,Handwashing sinks (Kitchen & Restroom), ²  0.5 gallons per minute;; ² 1 gallons per minute;; ²  1.5 gallons per minute,3;;2;;1,,,,,,,,
Energy, WATER HEATING ,Non-Fill Prep Sink, ²  0.5 gallons per minute;; ² 1 gallon per minute;; ²  1.5 gallons per minute,3;;2;;1,,,,,,,,
