Category,Subcategory,Item,Options,GreenPoints™,Verification Needed (Should be visible only in Client Portal),Legislation,Rebates/Incentives,Ecofacts,Product Solutions,Calculators
Energy,HEATING;; COOLING;; VENTILATION,Programmable thermostat,Yes;;No,3;;0,Invoice OR Photo,would need to tie into external database that matches zip code,would need to tie into external database that matches zip code,Example: Getting a programmable thermostat can save you xyz energy…,Honeywell product 278,"We'd mark this column with a name of a calculator, such as ""Programmable thermostat"". Another part of the site will have the calculators. Marking an item in this column will bring in the proper calculator"
Energy,HEATING;; COOLING;; VENTILATION,Energy Star Furnace,Yes;;No,3.75;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Energy Star HVAC - heating element,Yes;;No,4.25;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Consortium for Energy Efficiency (CEE) Tier 1 HVAC - heating element,Yes;;No,4.75;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,CEE Tier 2 HVAC - heating element,Yes;;No,5.25;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Energy Star Ceiling Fan,Yes;;No,3.75;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Energy Star air conditioner - room,Yes;;No,3.25;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Energy Star air conditioner - central,Yes;;No,4.75;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Energy Star HVAC - cooling element,Yes;;No,3.75;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,CEE Tier 1 HVAC - cooling element,Yes;;No,4.5;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,CEE Tier 2 HVAC - cooling element,Yes;;No,5.25;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,No A/C,Yes;;No,10.5;;0,Signed statement on letterhead,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Energy Star Exhaust Fan,Yes;;No,3.75;;0,Invoice OR Photo showing manufacturer and model,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Stacked parking (underground or multilevel garage),Yes;;No,3.75;;0,Photo,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Open-grid pavement system for parking lot area,Yes;;No,3.75;;0,Invoice OR Photo,,,,,
Energy,HEATING;; COOLING;; VENTILATION,"Energy Star-compliant, high reflectance roofing material on roof surface (min emisssivity of 0.9)",Yes;;No,3.75;;0,Invoice OR Documentation from installer,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Energy Star Qualified Windows,Yes;;No,3.75;;0,Invoice OR Documentation from installer,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Windows covered in window film that blocks solar heat,Yes;;No,3.75;;0,Invoice,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Shading of nonroof impervious surfaces,Yes;;No,3.75;;0,Photo,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Light-colored / reflective materials on nonroof impervious surfaces,Yes;;No,3.75;;0,Invoice OR Photo with narrative,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Heat recovery system - HVAC,Yes;;No,3.75;;0,Invoice,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Energy management system - HVAC,Yes;;No,3;;0,Invoice,,,,,
Energy,HEATING;; COOLING;; VENTILATION,Fresh air heat exchanger,Yes;;No,3.75;;0,Invoice,,,,,
